sample,region,donor,pz,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM1248799,MT,OA-6,0.2689333,0.369383258221304,0.37825672085588,0.296345566856181,0.177188850894171,0.331038616487144,-0.14453943782556,0.0732799138349122,0.282317637148372,-0.111723827977533,0.342866412815719,-0.0754596396748772,0.224214350073629,0.145609562577503,-0.165710808152535,0.138643907766398,-0.0809609744091159,0.242829191758383,-0.0174036946140938
GSM1248800,MT,OA-5,-0.037195206,-0.117722143557378,-0.4422254111616,0.0924458393666584,-0.341445293224972,-0.0613319959414961,-0.301107684920975,0.0558312416724178,-0.227182398804629,-0.00130523162200291,-0.341497375125882,-0.000133015301922634,0.0541480652833835,0.049099954608707,-0.0398483865969728,0.0809588886170527,-0.235098312915921,-0.151112726829159,-0.236275718798914
GSM1248801,MT,OA-4,-0.14408493,-0.105935234018349,-0.413615728314549,0.228317334404877,0.109866460928297,-0.304848144563314,-0.0202038309695553,0.060430232833023,-0.050900411237784,-0.155066314112803,0.0319630645031457,-0.223545846747766,0.134108640852575,-0.0337699724816163,-0.257287998665245,0.126631986222357,-0.128221915168962,0.127405310118499,-0.251395953557942
GSM1248802,MT,OA-3,-0.14261723,0.185575827458261,-0.090486409778989,0.121378987391258,-0.0726183314425198,0.223309661799437,-0.158143139893963,-0.0878123229733654,-0.162533836408495,-0.0178135314788386,-0.259368632250111,0.144593690841057,0.311597681519373,0.413946771691361,0.0341447601191376,0.230149390410976,-0.0228150957520182,0.279662547591153,-0.368286054042918
GSM1248803,MT,OA-2,-1.0338411,0.224222514766118,-0.0455017535838769,0.32513167479426,0.330341281461991,0.149958848063554,0.138628277613732,-0.0177675095256296,0.0305180742216745,-0.127954900687466,0.235138024142362,0.108185926531402,-0.110513817463873,0.114988576313749,0.159697379313269,0.0700728744627589,-0.196137871296752,0.0591376477465181,-0.190569262932915
GSM1248804,MT,OA-1,-1.204752,-0.158632961436521,-0.467481521170902,0.0521731185123817,0.0993887653097812,-0.197496812565144,-0.13168076878674,-0.0731237161580537,-0.0530025276765711,-0.0911797143812666,-0.177967536070388,-0.347383222353998,-0.175762744198027,-0.105253917834931,-0.324328900457101,0.0398430355543134,-0.355631149063616,-0.188415387669362,-0.126563838109245
GSM1248805,MT,OA-19,-0.6628704,0.00271191882605715,-0.427512030813547,0.0276715339162807,0.00900575826557172,-0.106163042764981,0.0914393474263198,-0.0200444590884012,-0.000218579951919522,-0.0617961550671843,-0.231388407485988,-0.171002555067364,-0.0946001817340776,0.00592557622726624,0.321420307985578,0.12824995815476,-0.377153065728557,0.350255302653792,0.0256320385791726
GSM1248806,MT,OA-18,-0.19515514,-0.112646626039607,0.131858476558789,-0.056919030857254,-0.101034593571482,0.128812322277008,-0.0131269464916261,-0.0787175989000009,-0.212238622730543,-0.0734425786383505,-0.348319437560412,-0.369320128988866,0.106293781414913,-0.27854918990681,0.125534185397597,0.14970792030747,-0.230348539024254,0.250341683548855,-0.364202853493657
GSM1248807,MT,OA-17,-0.14371014,0.0221551219023993,-0.476638799787659,0.118111701777438,-0.216882726309976,-0.366269991000352,-0.317988981970884,0.215029138743636,-0.411087242234438,-0.0511241029126907,-0.251136633037126,-0.0848615829124049,0.0283393544210184,0.242118662343703,0.193005363132189,0.000968953463211281,-0.294409849361218,-0.0759248291715172,-0.430139198955682
GSM1248808,MT,OA-16,-0.9646578,0.0401997579380521,-0.124639386094553,0.0172016266514804,0.277434828917558,0.0154229844921931,0.141382636151951,0.0856673233569117,0.152418359517102,-0.195632011267279,-0.0679677997326617,0.0744123687332851,0.133282068885556,-0.130521246766484,-0.27759145940469,0.0693532520932005,0.322397647180655,0.223474370716599,0.249727886379429
